,0
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,0.9998101128472351
11,0.9995252821180878
12,1.0
13,0.9996812608507161
14,1.0
15,1.0
16,1.0
17,1.0
18,1.0
19,1.0
20,1.0
21,1.0
22,1.0
23,1.0
24,1.0
25,1.0
26,1.0
27,1.0
28,1.0
29,1.0
30,1.0
31,1.0
32,1.0
33,1.0
34,1.0
35,1.0
36,1.0
37,1.0
38,1.0
39,1.0
40,1.0
41,1.0
42,1.0
43,1.0
44,1.0
45,1.0
46,1.0
47,1.0
48,1.0
49,1.0
50,1.0
51,1.0
52,1.0
53,1.0
54,1.0
55,0.9997626410590439
56,0.9995252821180878
57,0.9993557400174048
58,0.999403211805596
59,0.9994371202257326
60,0.9995252821180878
61,0.999403211805596
62,1.0
63,1.0
64,1.0
65,1.0
66,1.0
67,0.9998575846354263
68,1.0
69,0.9991319444445033
70,0.9989284939236838
71,0.9978095160591763
72,0.9969414605036796
73,0.9961819118926201
74,0.9959784613718005
75,0.9955783420141887
76,0.9957885742190357
77,0.9953070746530961
78,0.9948052300350745
79,0.9920450846359562
80,0.9910549587679678
81,0.9893798828132202
82,0.9886678059903519
83,0.9885186089417508
84,0.9898681640631871
85,0.9900512695319247
86,0.9920043945317922
87,0.9931165907122723
88,0.9919501410595737
89,0.9921739366324752
90,0.9932047526046275
91,0.9953952365454511
92,0.9961751302085927
93,0.9951239691843584
94,0.9960462782120737
95,0.9957817925350083
96,0.9960801866322103
97,0.9950358072920034
98,0.9947238498267467
99,0.9950900607642219
100,0.9968193901911879
101,0.996948242187707
102,0.9971110026043626
103,0.9971449110244992
104,0.997077094184226
105,0.997077094184226
106,0.997246636284909
107,0.997653537326548
108,0.996073404948183
109,0.9952731662329595
110,0.9961886935766474
111,0.996202256944702
112,0.9966362847224504
113,0.995944552951664
114,0.9962090386287293
115,0.9959242078995819
116,0.9955376519100249
117,0.9964735243057947
118,0.996242947048866
119,0.9958292643231995
120,0.9953748914933692
121,0.9939371744795779
122,0.9939439561636051
123,0.9928656684032616
124,0.9932318793407368
125,0.9923977322053766
126,0.9930962456601904
127,0.9939100477434686
128,0.9931640625004636
129,0.9932861328129553
130,0.9936523437504304
131,0.9937811957469496
132,0.9939507378476324
133,0.9940660264760969
134,0.994601779514255
135,0.9949747721357575
136,0.9943847656253808
137,0.9934082031254471
138,0.9936184353302939
139,0.9938286675351408
140,0.993726942274731
